Date,Close
1990/3/1,16.8125
1990/3/2,17
1990/3/5,17.4375
1990/3/6,17.75
1990/3/7,17.6875
1990/3/8,17.6875
1990/3/9,17.75
1990/3/12,18.1875
1990/3/13,18.9375
1990/3/14,18.9375
1990/3/15,18.5
1990/3/16,18.75
1990/3/19,18.5625
1990/3/20,18.5625
1990/3/21,19.125
1990/3/22,18.5
1990/3/23,18.75
1990/3/26,18.625
1990/3/27,18.625
1990/3/28,18.4375
1990/3/29,18.125
1990/3/30,17.875
1990/4/2,18.125
1990/4/3,18.5
1990/4/4,18.5625
1990/4/5,18.125
1990/4/6,18.125
1990/4/9,17.875
1990/4/10,17.9375
1990/4/11,18.0625
1990/4/12,17.9375
1990/4/16,17.625
1990/4/17,17.5625
1990/4/18,17.5625
1990/4/19,17.5
1990/4/20,17.375
1990/4/23,17.0625
1990/4/24,17.5
1990/4/25,17.75
1990/4/26,17.75
1990/4/27,17.625
1990/4/30,17.6875
1990/5/1,17.6875
1990/5/2,17.625
1990/5/3,17.75
1990/5/4,17.6875
1990/5/7,17.75
1990/5/8,17.75
1990/5/9,17.6875
1990/5/10,17.4375
1990/5/11,17.75
1990/5/14,17.6875
1990/5/15,17.4375
1990/5/16,17.6875
1990/5/17,17.9375
1990/5/18,17.9375
1990/5/21,17.875
1990/5/22,17.5625
1990/5/23,17.3125
1990/5/24,17.3125
1990/5/25,17.25
1990/5/29,17.6875
1990/5/30,18.0625
1990/5/31,17.875
1990/6/1,17.8125
1990/6/4,18.125
1990/6/5,17.9375
1990/6/6,17.75
1990/6/7,17.5
1990/6/8,17.3125
1990/6/11,17.0625
1990/6/12,17.25
1990/6/13,17.0625
1990/6/14,17.375
1990/6/15,17.3125
1990/6/18,17
1990/6/19,16.875
1990/6/20,16.8125
1990/6/21,16.25
1990/6/22,15.8125
1990/6/25,15.8125
1990/6/26,15.875
1990/6/27,15.5625
1990/6/28,15.125
1990/6/29,15.0625
1990/7/2,14.875
1990/7/3,14.75
1990/7/5,14.5625
1990/7/6,14.6875
1990/7/9,14.5
1990/7/10,14.1875
1990/7/11,13.9375
1990/7/12,14.25
1990/7/13,14.5
1990/7/16,14.8125
1990/7/17,15.0625
1990/7/18,14.75
1990/7/19,15.0625
1990/7/20,14.5
1990/7/23,14.25
1990/7/24,13.8125
1990/7/25,14.0625
1990/7/26,13.625
1990/7/27,13.5625
1990/7/30,13.875
1990/7/31,13.25
1990/8/1,13.1875
1990/8/2,13.375
1990/8/3,12.5
1990/8/6,12.1875
1990/8/7,12.25
1990/8/8,12.75
1990/8/9,12.75
1990/8/10,12.25
1990/8/13,12.5
1990/8/14,12.6875
1990/8/15,12.9375
1990/8/16,12.4375
1990/8/17,11.8125
1990/8/20,11.625
1990/8/21,11.5
1990/8/22,12.1875
1990/8/23,11.25
1990/8/24,11.6875
1990/8/27,11.8125
1990/8/28,11.75
1990/8/29,11.9375
1990/8/30,12.0625
1990/8/31,11.375
1990/9/4,11.5
1990/9/5,11.5625
1990/9/6,11.125
1990/9/7,10.3125
1990/9/10,10.5
1990/9/11,10.1875
1990/9/12,10.125
1990/9/13,9.9375
1990/9/14,9.9375
1990/9/17,9.5
1990/9/18,9.375
1990/9/19,9.5
1990/9/20,9.4375
1990/9/21,9.3125
1990/9/24,9
1990/9/25,8.5
1990/9/26,8.875
1990/9/27,8.375
1990/9/28,8.5
1990/10/1,8.5625
1990/10/2,8.375
1990/10/3,8.4375
1990/10/4,8.625
1990/10/5,8.5625
1990/10/8,8.4375
1990/10/9,8.125
1990/10/10,8.1875
1990/10/11,8.25
1990/10/12,8.125
1990/10/15,7.5625
1990/10/16,7.625
1990/10/17,8.0625
1990/10/18,8.0625
1990/10/19,8.0625
1990/10/22,7.875
1990/10/23,8
1990/10/24,8.25
1990/10/25,8
1990/10/26,7.8125
1990/10/29,7.75
1990/10/30,7.8125
1990/10/31,7.625
1990/11/1,7.5625
1990/11/2,7.375
1990/11/5,7.25
1990/11/6,7.625
1990/11/7,7.4375
1990/11/8,7.375
1990/11/9,6.75
1990/11/12,7
1990/11/13,7.1875
1990/11/14,7.625
1990/11/15,7.75
1990/11/16,7.875
1990/11/19,7.875
1990/11/20,7.75
1990/11/21,7.8125
1990/11/23,7.8125
1990/11/26,7.625
1990/11/27,7.75
1990/11/28,8.1875
1990/11/29,8.0625
1990/11/30,8
1990/12/3,7.9375
1990/12/4,7.9375
1990/12/5,8
1990/12/6,7.9375
1990/12/7,8.125
1990/12/10,8.125
1990/12/11,8.625
1990/12/12,8.75
1990/12/13,8.625
1990/12/14,8.5
1990/12/17,8.375
