Time,Food inflation
Aug-22,6.1
Sep-22,8.8
Oct-22,7
Nov-22,3.7
Dec-22,4.8
Jan-23,6.2
Feb-23,2.6
Mar-23,2.4
Apr-23,0.4
May-23,1
Jun-23,2.3
Jul-23,-1.7
