Time,Banks Balance Sheet (CNY Billion)
Jul-22,679
Aug-22,1250
Sep-22,2470
Oct-22,615.2
Nov-22,1210
Dec-22,1400
Jan-23,4900
Feb-23,1810
Mar-23,3890
Apr-23,718.8
May-23,1360
Jun-23,3050
Jul-23,345.9
