Time,Mini- and subcompact size,Compact size,Midsize to large
2017/1/1,0.61,0.35,0.04
2018/1/1,0.49,0.41,0.1
2019/1/1,0.33,0.54,0.13
2020/1/1,0.35,0.33,0.32
2021/1/1,0.37,0.28,0.35
2022/1/1,0.37,0.31,0.32
2023/1/1,0.3,0.3,0.4
