Time,Launches,Liquidations,Active
2012/1/1,46,14,271
2013/1/1,50,18,303
2014/1/1,76,18,361
2015/1/1,68,18,411
2016/1/1,51,14,448
2017/1/1,63,20,491
2018/1/1,61,24,528
2019/1/1,64,19,573
2020/1/1,65,32,606
2021/1/1,75,17,664
2022/1/1,26,21,669
2023/1/1,5,18,656
