Date,Adj Close
1999/4/26,5.179688
1999/4/27,5.146875
1999/4/28,4.8375
1999/4/29,4.20625
1999/4/30,4.301563
1999/5/3,3.773438
1999/5/4,3.575
1999/5/5,3.6625
1999/5/6,3.434375
1999/5/7,3.409375
1999/5/10,3.671875
1999/5/11,3.709375
1999/5/12,3.573438
1999/5/13,3.4
1999/5/14,3.309375
1999/5/17,3.440625
1999/5/18,3.315625
1999/5/19,3.489063
1999/5/20,3.270313
1999/5/21,3.214063
1999/5/24,2.9375
1999/5/25,2.789063
1999/5/26,3.023438
1999/5/27,2.864063
1999/5/28,2.96875
1999/6/1,2.645313
1999/6/2,2.803125
1999/6/3,2.626563
1999/6/4,2.710938
1999/6/7,2.934375
1999/6/8,2.789063
1999/6/9,2.85
1999/6/10,2.898438
1999/6/11,2.645313
1999/6/14,2.3
1999/6/15,2.4125
1999/6/16,2.792188
1999/6/17,2.823438
1999/6/18,2.782813
1999/6/21,3.0875
1999/6/22,2.9375
1999/6/23,2.94375
1999/6/24,2.840625
1999/6/25,2.754688
1999/6/28,2.767188
1999/6/29,2.901563
1999/6/30,3.128125
1999/7/1,3.059375
1999/7/2,3.101563
1999/7/6,3.171875
1999/7/7,3.046875
1999/7/8,3.134375
1999/7/9,3.1375
1999/7/12,2.934375
1999/7/13,3.153125
1999/7/14,3.375
1999/7/15,3.489063
1999/7/16,3.440625
1999/7/19,3.292188
1999/7/20,3.003125
1999/7/21,3.135938
1999/7/22,2.670313
1999/7/23,2.864063
1999/7/26,2.648438
1999/7/27,2.525
1999/7/28,2.64375
1999/7/29,2.539063
1999/7/30,2.501563
1999/8/2,2.35
1999/8/3,2.371875
1999/8/4,2.210938
1999/8/5,2.43125
1999/8/6,2.239063
1999/8/9,2.1375
1999/8/10,2.275
1999/8/11,2.273438
1999/8/12,2.29375
1999/8/13,2.435938
1999/8/16,2.457813
1999/8/17,2.73125
1999/8/18,2.828125
1999/8/19,2.653125
1999/8/20,2.835938
1999/8/23,2.959375
1999/8/24,3.001563
1999/8/25,3.321875
1999/8/26,3.214063
1999/8/27,3.2125
1999/8/30,2.98125
1999/8/31,3.109375
1999/9/1,2.976563
1999/9/2,3.003125
1999/9/3,3.121875
1999/9/7,3.146875
1999/9/8,3.071875
1999/9/9,3.18125
1999/9/10,3.325
1999/9/13,3.165625
1999/9/14,3.3
1999/9/15,3.278125
1999/9/16,3.2625
1999/9/17,3.190625
1999/9/20,3.1375
1999/9/21,3.1125
1999/9/22,3.3
1999/9/23,3.1125
1999/9/24,3.25
1999/9/27,3.128125
1999/9/28,3.29375
1999/9/29,4.0375
1999/9/30,3.996875
1999/10/1,3.8625
1999/10/4,3.853125
1999/10/5,3.921875
1999/10/6,4.121875
1999/10/7,4.365625
1999/10/8,4.4625
1999/10/11,4.41875
1999/10/12,4.246875
1999/10/13,3.996875
1999/10/14,3.979688
1999/10/15,3.753125
1999/10/18,3.703125
1999/10/19,3.83125
1999/10/20,4.025
1999/10/21,4.0375
1999/10/22,3.93125
1999/10/25,4.1375
1999/10/26,4.0625
1999/10/27,3.796875
1999/10/28,3.55
1999/10/29,3.53125
1999/11/1,3.45625
1999/11/2,3.321875
1999/11/3,3.290625
1999/11/4,3.153125
1999/11/5,3.246875
1999/11/8,3.9
1999/11/9,3.540625
1999/11/10,3.6
1999/11/11,3.65
1999/11/12,3.746875
1999/11/15,3.675
1999/11/16,3.946875
1999/11/17,3.825
1999/11/18,3.896875
1999/11/19,3.896875
1999/11/22,4.025
1999/11/23,4.0875
1999/11/24,4.3625
1999/11/26,4.65625
1999/11/29,4.521875
1999/11/30,4.253125
1999/12/1,4.25
1999/12/2,4.453125
1999/12/3,4.328125
1999/12/6,4.3875
1999/12/7,4.303125
1999/12/8,4.428125
1999/12/9,5.18125
1999/12/10,5.334375
1999/12/13,5.125
1999/12/14,4.78125
1999/12/15,4.825
1999/12/16,4.74375
1999/12/17,4.703125
1999/12/20,4.85
1999/12/21,4.99375
1999/12/22,4.884375
1999/12/23,4.5
1999/12/27,4.05625
1999/12/28,4.115625
1999/12/29,4.175
1999/12/30,3.953125
1999/12/31,3.80625
2000/1/3,4.46875
2000/1/4,4.096875
2000/1/5,3.4875
2000/1/6,3.278125
2000/1/7,3.478125
2000/1/10,3.459375
2000/1/11,3.3375
2000/1/12,3.178125
2000/1/13,3.296875
2000/1/14,3.2125
2000/1/18,3.20625
2000/1/19,3.340625
2000/1/20,3.2375
