Date,Close
25-Jan-18,"26,392.79"
24-Jan-18,"26,252.12"
23-Jan-18,"26,210.81"
22-Jan-18,"26,214.60"
19-Jan-18,"26,071.72"
18-Jan-18,"26,017.81"
17-Jan-18,"26,115.65"
16-Jan-18,"25,792.86"
12-Jan-18,"25,803.19"
11-Jan-18,"25,574.73"
10-Jan-18,"25,369.13"
9-Jan-18,"25,385.80"
8-Jan-18,"25,283.00"
5-Jan-18,"25,295.87"
4-Jan-18,"25,075.13"
3-Jan-18,"24,922.68"
2-Jan-18,"24,824.01"
29-Dec-17,"24,719.22"
28-Dec-17,"24,837.51"
27-Dec-17,"24,774.30"
26-Dec-17,"24,746.21"
22-Dec-17,"24,754.06"
21-Dec-17,"24,782.29"
20-Dec-17,"24,726.65"
19-Dec-17,"24,754.75"
18-Dec-17,"24,792.20"
15-Dec-17,"24,651.74"
14-Dec-17,"24,508.66"
13-Dec-17,"24,585.43"
12-Dec-17,"24,504.80"
11-Dec-17,"24,386.03"
8-Dec-17,"24,329.16"
7-Dec-17,"24,211.48"
6-Dec-17,"24,140.91"
5-Dec-17,"24,180.64"
4-Dec-17,"24,290.05"
1-Dec-17,"24,231.59"
30-Nov-17,"24,272.35"
29-Nov-17,"23,940.68"
28-Nov-17,"23,836.71"
27-Nov-17,"23,580.78"
24-Nov-17,"23,557.99"
22-Nov-17,"23,526.18"
21-Nov-17,"23,590.83"
20-Nov-17,"23,430.33"
17-Nov-17,"23,358.24"
16-Nov-17,"23,458.36"
15-Nov-17,"23,271.28"
14-Nov-17,"23,409.47"
13-Nov-17,"23,439.70"
10-Nov-17,"23,422.21"
9-Nov-17,"23,461.94"
8-Nov-17,"23,563.36"
7-Nov-17,"23,557.23"
6-Nov-17,"23,548.42"
3-Nov-17,"23,539.19"
2-Nov-17,"23,516.26"
1-Nov-17,"23,435.01"
31-Oct-17,"23,377.24"
30-Oct-17,"23,348.74"
27-Oct-17,"23,434.19"
26-Oct-17,"23,400.86"
25-Oct-17,"23,329.46"
24-Oct-17,"23,441.76"
23-Oct-17,"23,273.96"
20-Oct-17,"23,328.63"
19-Oct-17,"23,163.04"
18-Oct-17,"23,157.60"
17-Oct-17,"22,997.44"
16-Oct-17,"22,956.96"
13-Oct-17,"22,871.72"
12-Oct-17,"22,841.01"
11-Oct-17,"22,872.89"
10-Oct-17,"22,830.68"
9-Oct-17,"22,761.07"
6-Oct-17,"22,773.67"
5-Oct-17,"22,775.39"
4-Oct-17,"22,661.64"
3-Oct-17,"22,641.67"
2-Oct-17,"22,557.60"
29-Sep-17,"22,405.09"
28-Sep-17,"22,381.20"
27-Sep-17,"22,340.71"
26-Sep-17,"22,284.32"
25-Sep-17,"22,296.09"
22-Sep-17,"22,349.59"
21-Sep-17,"22,359.23"
20-Sep-17,"22,412.59"
19-Sep-17,"22,370.80"
18-Sep-17,"22,331.35"
15-Sep-17,"22,268.34"
14-Sep-17,"22,203.48"
13-Sep-17,"22,158.18"
12-Sep-17,"22,118.86"
11-Sep-17,"22,057.37"
8-Sep-17,"21,797.79"
7-Sep-17,"21,784.78"
6-Sep-17,"21,807.64"
5-Sep-17,"21,753.31"
1-Sep-17,"21,987.56"
31-Aug-17,"21,948.10"
30-Aug-17,"21,892.43"
29-Aug-17,"21,865.37"
28-Aug-17,"21,808.40"
25-Aug-17,"21,813.67"
24-Aug-17,"21,783.40"
23-Aug-17,"21,812.09"
22-Aug-17,"21,899.89"
21-Aug-17,"21,703.75"
18-Aug-17,"21,674.51"
17-Aug-17,"21,750.73"
16-Aug-17,"22,024.87"
15-Aug-17,"21,998.99"
14-Aug-17,"21,993.71"
11-Aug-17,"21,858.32"
10-Aug-17,"21,844.01"
9-Aug-17,"22,048.70"
8-Aug-17,"22,085.34"
7-Aug-17,"22,118.42"
4-Aug-17,"22,092.81"
3-Aug-17,"22,026.10"
2-Aug-17,"22,016.24"
1-Aug-17,"21,963.92"
31-Jul-17,"21,891.12"
28-Jul-17,"21,830.31"
27-Jul-17,"21,796.55"
26-Jul-17,"21,711.01"
25-Jul-17,"21,613.43"
24-Jul-17,"21,513.17"
21-Jul-17,"21,580.07"
20-Jul-17,"21,611.78"
19-Jul-17,"21,640.75"
18-Jul-17,"21,574.73"
17-Jul-17,"21,629.72"
14-Jul-17,"21,637.74"
13-Jul-17,"21,553.09"
12-Jul-17,"21,532.14"
11-Jul-17,"21,409.07"
10-Jul-17,"21,408.52"
7-Jul-17,"21,414.34"
6-Jul-17,"21,320.04"
5-Jul-17,"21,478.17"
3-Jul-17,"21,479.27"
30-Jun-17,"21,349.63"
29-Jun-17,"21,287.03"
28-Jun-17,"21,454.61"
27-Jun-17,"21,310.66"
26-Jun-17,"21,409.55"
23-Jun-17,"21,394.76"
22-Jun-17,"21,397.29"
21-Jun-17,"21,410.03"
20-Jun-17,"21,467.14"
19-Jun-17,"21,528.99"
16-Jun-17,"21,384.28"
15-Jun-17,"21,359.90"
14-Jun-17,"21,374.56"
13-Jun-17,"21,328.47"
12-Jun-17,"21,235.67"
9-Jun-17,"21,271.97"
8-Jun-17,"21,182.53"
7-Jun-17,"21,173.69"
6-Jun-17,"21,136.23"
5-Jun-17,"21,184.04"
2-Jun-17,"21,206.29"
1-Jun-17,"21,144.18"
31-May-17,"21,008.65"
30-May-17,"21,029.47"
26-May-17,"21,080.28"
25-May-17,"21,082.95"
24-May-17,"21,012.42"
23-May-17,"20,937.91"
22-May-17,"20,894.83"
19-May-17,"20,804.84"
18-May-17,"20,663.02"
17-May-17,"20,606.93"
16-May-17,"20,979.75"
15-May-17,"20,981.94"
12-May-17,"20,896.61"
11-May-17,"20,919.42"
10-May-17,"20,943.11"
9-May-17,"20,975.78"
8-May-17,"21,012.28"
5-May-17,"21,006.94"
4-May-17,"20,951.47"
3-May-17,"20,957.90"
2-May-17,"20,949.89"
1-May-17,"20,913.46"
28-Apr-17,"20,940.51"
27-Apr-17,"20,981.33"
26-Apr-17,"20,975.09"
25-Apr-17,"20,996.12"
24-Apr-17,"20,763.89"
21-Apr-17,"20,547.76"
20-Apr-17,"20,578.71"
19-Apr-17,"20,404.49"
18-Apr-17,"20,523.28"
17-Apr-17,"20,636.92"
13-Apr-17,"20,453.25"
12-Apr-17,"20,591.86"
11-Apr-17,"20,651.30"
10-Apr-17,"20,658.02"
7-Apr-17,"20,656.10"
6-Apr-17,"20,662.95"
5-Apr-17,"20,648.15"
4-Apr-17,"20,689.24"
3-Apr-17,"20,650.21"
31-Mar-17,"20,663.22"
30-Mar-17,"20,728.49"
29-Mar-17,"20,659.32"
28-Mar-17,"20,701.50"
27-Mar-17,"20,550.98"
24-Mar-17,"20,596.72"
23-Mar-17,"20,656.58"
22-Mar-17,"20,661.30"
21-Mar-17,"20,668.01"
20-Mar-17,"20,905.86"
17-Mar-17,"20,914.62"
16-Mar-17,"20,934.55"
15-Mar-17,"20,950.10"
14-Mar-17,"20,837.37"
13-Mar-17,"20,881.48"
10-Mar-17,"20,902.98"
9-Mar-17,"20,858.19"
8-Mar-17,"20,855.73"
7-Mar-17,"20,924.76"
6-Mar-17,"20,954.34"
3-Mar-17,"21,005.71"
2-Mar-17,"21,002.97"
1-Mar-17,"21,115.55"
28-Feb-17,"20,812.24"
27-Feb-17,"20,837.44"
24-Feb-17,"20,821.76"
